PESTGROUP,PEST_SPECIES_CODE,PEST_SPECIES_COMMON_NAME,Ba,Bg,Bl,Cw,Fd,Hw,Lw,Pj,Pl,Pw,Py,Sb,Ss,Sx,Yc
ANIMAL,AD,Deer,,,,1,1,,,,,,,1,1,1,
DISEASE,DFS,Dothistroma Needle Blight,,,,,,,,1,1,1,1,,,,
DISEASE,DFU,Cedar Leaf Blight,,,,1,,,,,,,,,,,
DISEASE,DFW,Swiss Needle Cast,,,,,1,,,,,,,,,,
DISEASE,DRA,Armillaria Root Disease,,1,1,3,1,1,3,,2,2,2,2,2,2,
DISEASE,DRC,Cedar Laminated Root and Butt Rot,,,,1,,,,,,,,,,,
DISEASE,DRL,Laminated Root Rot,,1,2,3,1,2,2,,,,,2,2,2,
DISEASE,DRR,Rhizina Root Disease,,,,1,1,1,1,,1,,,,1,1,
DISEASE,DRT,Tomentosus Root Rot,2,2,2,,2,,2,,2,2,2,1,1,1,
DISEASE,DSB,White Pine Blister Rust,,,,,,,,,,1,,,,,
DISEASE,DSC,Comandra Blister Rust,,,,,,,,,1,,,,,,
DISEASE,DSG,Western Gall Rust,,,,,,,,,1,1,1,,,,
DISEASE,DSS,Stalactiform Blister Rust,,,,,,,,,1,,,,,,
INSECT,IBB,Western Balsam Bark Beetle,2,,1,,,,,,,,,,,,
INSECT,IBD,Douglas-fir Beetle,,,,,1,,,,,,,,,,
INSECT,IBM,Mountain Pine Beetle,,,,,,,,,1,,,,,,
INSECT,IBS,Spruce Beetle,,,,,,,,,,,,3,1,1,
INSECT,IBW,Western Pine Beetle,,,,,,,,,,,1,,,,
INSECT,IDA,Black Army Cutworm,,,,,,,,,1,,1,,,1,
INSECT,IDC,Larch Casebearer,,,,,,,1,,,,,,,,
INSECT,IDE,Eastern Spruce Budworm,,,1,,,,,,,,,,,1,
INSECT,IDG,Greenstriped Forest Looper,,,,1,1,1,,,,,,,,,
INSECT,IDH,Western Blackheaded Budworm,1,1,1,,2,1,,,,,,,2,2,
INSECT,IDL,Western Hemlock Looper,,,,,,1,,,,,,,,,
INSECT,IDT,Douglas-fir Tussock Moth,,,,,1,,2,,,,2,,,,
INSECT,IDW,Western Spruce Budworm,1,1,,,1,,1,,,,,,,,
INSECT,IDZ,Western False Hemlock Looper,,,3,,1,3,3,,,,3,,,3,
INSECT,IWC,Conifer Seedling Weevil,2,2,2,2,1,1,,,,,,,1,,
INSECT,IWP,Lodgepole pine Terminal Weevil,,,,,,,,,1,,,,,,
INSECT,IWS,White pine Weevil (on Spruce),,,,,,,,,,,,,1,1,
INSECT,IWW,Warrens Root Collar Weevil,,,,,2,,,,1,,,,,2,
ABIOTIC,NCF,Douglas-fir Decline,,,,,1,,,,,,,,,,
ABIOTIC,NCY,Yellow cedar (Yc) Decline,,,,,,,,,,,,,,,1
ABIOTIC,ND,Drought,,,,,,,,,,,,,,,
ABIOTIC,NY,Snow or Ice (includes snow press),,,,,,,,,,,,,,,
