BGC,Col
(None),#000000FF
BAFAun,#E2F5F1FF
BGxh_WA,#DB1010FF
ESSFdc2,#B855CCFF
ESSFdc3,#B782DFFF
ESSFdcp,#8817DEFF
ESSFdcw,#9732DEFF
ESSFdh_WA,#671DA7FF
ESSFdh1,#D0ABEEFF
ESSFdh2,#C08FE3FF
ESSFdk_MT,#AD21EEFF
ESSFdk1,#7015DFFF
ESSFdk2,#A622CEFF
BGxh1,#E53443FF
ESSFdkp,#C27AD8FF
ESSFdkp_MT,#AA51CDFF
ESSFdkw,#5F2AF0FF
ESSFdm_ID,#5F2AF0FF
ESSFdmp_ID,#B074D0FF
ESSFdv1,#BC67DDFF
ESSFdv2,#CB7EE0FF
ESSFdvp,#981DC8FF
ESSFdvw,#A01DC8FF
ESSFmc,#C482D6FF
BGxh2,#D72828FF
ESSFmcp,#B23AD3FF
ESSFmh,#CD79E0FF
ESSFmk,#A317D5FF
ESSFmkp,#B350D6FF
ESSFmm1,#B861D4FF
ESSFmm2,#AB2BCBFF
ESSFmm3,#C41BE5FF
ESSFmmp,#C684E7FF
ESSFmmw,#C360EDFF
ESSFmv1,#B54DD7FF
BGxh3,#E75E63FF
ESSFmv2,#BE79E2FF
ESSFmv3,#AD3FE4FF
ESSFmv4,#974CEBFF
ESSFmvp,#AF47CBFF
ESSFmw,#AB1CDFFF
ESSFmw_WA,#8710E1FF
ESSFmw1,#AE3AE0FF
ESSFmw2,#A16CD2FF
ESSFmwp,#BA6DD4FF
ESSFmwp_WA,#B635D6FF
BGxw1,#D64945FF
ESSFmww,#E189D1FF
ESSFun,#921AD2FF
ESSFunp,#A52EEAFF
ESSFvc,#B525D1FF
ESSFvcp,#BF4DC9FF
ESSFvcw,#CE6AC4FF
ESSFvh_ID,#A117CFFF
ESSFwc2,#C31AEDFF
ESSFwc3,#CA3FECFF
ESSFwc4,#DB45EBFF
BGxw2,#D71515FF
ESSFwcp,#B22DCFFF
ESSFwcw,#E613DCFF
ESSFwh_MT,#BF68CEFF
ESSFwh1,#CD35DAFF
ESSFwh2,#AF2CD6FF
ESSFwh3,#B125DBFF
ESSFwk1,#AC5BCFFF
ESSFwk2,#BC1CD8FF
ESSFwm_MT,#D97EE1FF
ESSFwm1,#D484EEFF
BGxx_WY,#DF325EFF
ESSFwm2,#B861CEFF
ESSFwm3,#D520ECFF
ESSFwm4,#C556E6FF
ESSFwmp,#C35AD8FF
ESSFwmp_MT,#B429CCFF
ESSFwmw,#E115BFFF
ESSFwv,#C031D3FF
ESSFwvp,#A13ACAFF
ESSFxc_CO,#A72FD2FF
ESSFxc_WA,#A76FCBFF
BSJPap,#4040D6FF
ESSFxc1,#A11ADAFF
ESSFxc2,#AE4AD6FF
ESSFxc3,#871FD0FF
ESSFxcp,#AD41ECFF
ESSFxcp_CO,#AA4FD8FF
ESSFxcp_WA,#AD61D0FF
ESSFxcw,#A553DFFF
ESSFxh_WA,#C97BEFFF
ESSFxk_MT,#D683DDFF
ESSFxk_UT,#A97ADCFF
BSJPku,#6E7ACAFF
ESSFxk_WY,#E747D5FF
ESSFxkp_MT,#A422D3FF
ESSFxkp_UT,#E981E9FF
ESSFxv1,#A881EBFF
ESSFxv2,#441AECFF
ESSFxvp,#7145DEFF
ESSFxvw,#8C5FCAFF
ESSFxw_OR,#7230C8FF
ESSFxwp_OR,#D3689CFF
ESSFxx_WY,#E035E5FF
BSJPpa,#3449E8FF
FGff,#DBB74AFF
FGnf,#C69B23FF
FGwk,#A07A19FF
GBDdw_UT,#A4A487FF
GBDxh_NV,#A09D85FF
GBDxx_UT,#9C9969FF
GOun_CO,#5D65D0FF
ICHdh_ID,#71D86BFF
ICHdk,#71DE73FF
ICHdm,#71EF65FF
BAFAunp,#F0E1DDFF
BWBScm,#286AE2FF
ICHdw_ID,#1BE714FF
ICHdw1,#4AEF58FF
ICHdw3,#1CD52FFF
ICHdw4,#4DDF42FF
ICHmc1,#5CEE59FF
ICHmc1a,#80D07DFF
ICHmc2,#20DC3FFF
ICHmh_MT,#64C829FF
ICHmk1,#64E46FFF
ICHmk2,#0DDD18FF
BWBScmC,#487FB7FF
ICHmk3,#0DDD0DFF
ICHmk4,#1DE11DFF
ICHmk5,#41CA3CFF
ICHmm,#39E639FF
ICHmw_MT,#86E869FF
ICHmw1,#45E732FF
ICHmw2,#96DB71FF
ICHmw3,#7CDC71FF
ICHmw4,#73D582FF
ICHmw5,#92E681FF
BWBScmE,#4797E7FF
ICHvc,#81E689FF
ICHvk_ID,#66D83CFF
ICHvk1,#16E024FF
ICHvk2,#30DA4CFF
ICHwc,#6DE380FF
ICHwk1,#93D478FF
ICHwk2,#92E188FF
ICHwk3,#4CCC38FF
ICHwk4,#85DF62FF
ICHxm1,#A4E949FF
BWBScmNW,#71B5E8FF
ICHxw,#75E67DFF
ICHxw_WA,#75E67DFF
ICHxwa,#80CD1AFF
IDFdc,#DED822FF
IDFdh,#EEDB2CFF
IDFdh_MT,#C3CC18FF
IDFdh_UT,#DBE33CFF
IDFdh_WA,#DEEC18FF
IDFdk_MT,#D7E051FF
IDFdk_WA,#D0CC51FF
BWBScmW,#1774FFFF
IDFdk1,#D7D768FF
IDFdk2,#CDC753FF
IDFdk3,#CDC553FF
IDFdk4,#EAE30EFF
IDFdk5,#E4E63EFF
IDFdkx_MT,#F2E81CFF
IDFdm_MT,#DBD679FF
IDFdm_WA,#D5D66CFF
IDFdm1,#E9E56EFF
IDFdm2,#E9D924FF
BWBSdk,#7687E3FF
IDFdw,#CEC622FF
IDFdx_MT,#DAD974FF
IDFdxx_WY,#E6C937FF
IDFmw1,#DDDA13FF
IDFmw2,#DDD313FF
IDFww,#E9E55CFF
IDFww1,#EFE937FF
IDFxc,#CEC819FF
IDFxh_ID,#C1CB33FF
IDFxh_WA,#DFDF27FF
BWBSdm,#627FD6FF
IDFxh1,#E8E983FF
IDFxh2,#D7DA76FF
IDFxh4,#EAE550FF
IDFxk,#E0EC6DFF
IDFxm,#E0EC6DFF
IDFxm_CO,#D4CF29FF
IDFxw,#E8E785FF
IDFxx_MT,#E0DF7DFF
IDFxx_WA,#C3C82CFF
IDFxx1,#C8C654FF
BWBSdmN,#5A7E99FF
IDFxx2,#EDED2AFF
IGFdk_WA,#479EDCFF
IGFdw_OR,#4C9EDCFF
IGFmh_OR,#479FE7FF
IGFmm_OR,#81B8D8FF
IGFxm_OR,#ACD9E5FF
IMAab,#DFF8F1FF
IMAun,#E9E4F4FF
IMAun_CO,#EAEAD9FF
IMAun_ID,#E7DDD2FF
BWBSdmS,#A6C8F3FF
IMAun_MT,#E5E9F3FF
IMAun_OR,#DAE9EBFF
IMAun_UT,#EAE6F0FF
IMAun_WA,#F2EFFEFF
IMAun_WY,#EBF3F3FF
IMAunp,#EDECE1FF
IWFdm_CO,#1BD79CFF
IWFdw_OR,#77D0ADFF
IWFxk_NV,#3AE3A8FF
IWFxm_CA,#20DC85FF
BWBSlb,#727CD5FF
JPWdm_WY,#B08595FF
JPWdw_UT,#A77274FF
JPWmk_WY,#A57376FF
JPWwm_CO,#AD737FFF
JPWxh_CA,#A87E86FF
JPWxw_NV,#C37389FF
MDCHun_NV,#BD2F12FF
MGPdm,#BB8027FF
MGPmg,#BB8F3DFF
MGPmw_MT,#A76E1FFF
BGdh_OR,#E8241AFF
BWBSlbE,#516EB5FF
MHdm_OR,#7F0FEFFF
MHds_OR,#9A4DECFF
MHds_WA,#8D5A99FF
MHmm_WA,#901B92FF
MHmm1,#A75FEFFF
MHmm2,#984FCBFF
MHmmp,#9A6BCDFF
MHmmp_WA,#C77DE7FF
MHms_WA,#A14EE4FF
MHmsp_WA,#B849E0FF
BWBSlbN,#4F7ACFFF
MHRFdm_OR,#74477AFF
MHRFds_CA,#80718AFF
MHRFdsp_CA,#602B83FF
MHRFmm_OR,#805FB2FF
MHRFmmp_OR,#5D1CD6FF
MHun,#924DD3FF
MHunp,#A748DAFF
MHwh,#B969D8FF
MHwh1,#C17DE3FF
MHwhp,#BB53EFFF
BWBSlbW,#2D5391FF
MSab,#D437A0FF
MSabN,#D53C55FF
MSabS,#CA2859FF
MSdc1,#E760AFFF
MSdc2,#F066E0FF
MSdc3,#CF2C5DFF
MSdh_MT,#E6858BFF
MSdh_UT,#D158A1FF
MSdh_WY,#E02DABFF
MSdk,#D23E90FF
BWBSlf,#253CECFF
MSdk_CO,#E50F6FFF
MSdm_WA,#E03F9DFF
MSdm1,#E03A7AFF
MSdm2,#DB4FB8FF
MSdm3,#D12785FF
MSdv,#DC70AFFF
MSdw,#C96CAAFF
MSdw_MT,#DD0EA6FF
MSmm_ID,#DF49C9FF
MSmw1,#E421A0FF
BWBSmk,#1633F0FF
MSmw2,#EC89DEFF
MSSDun_NV,#807474FF
MSxh_OR,#D266AEFF
MSxk_WA,#D720A9FF
MSxk1,#DF82E3FF
MSxk2,#E133E1FF
MSxk3,#CD47BBFF
MSxm_CO,#E875ADFF
MSxv,#CB1B5EFF
MSxx_NV,#E88092FF
BWBSmw,#1645F0FF
OWun_CA,#C4BD7DFF
PPmx_WY,#EF9C15FF
PPxh_CO,#F4A316FF
PPxh_WA,#E7AB1DFF
PPxh1,#DB8B28FF
PPxh2,#C36C09FF
PPxh3,#E18112FF
PPxk_OR,#D3730DFF
PPxm_OR,#E58714FF
PPxw,#E78534FF
BWBSnm,#485CC9FF
PPxw_MT,#CD8F25FF
PPxw_WY,#ED5F34FF
PPxx_OR,#D28212FF
SASbo,#2D4870FF
SBAPcp,#7AC0DCFF
SBAPfp,#1DA5E8FF
SBAPmw,#78E2E3FF
SBPSdc,#2AD1E0FF
SBPSmc,#3AC6CDFF
SBPSmk,#6AC6C9FF
BWBSpp,#444EDBFF
SBPSxc,#76E4E5FF
SBSdh1,#2955E4FF
SBSdh2,#129EE9FF
SBSdk,#3B9BD6FF
SBSdw1,#3EA8EAFF
SBSdw2,#0EBBE6FF
SBSdw3,#5964E3FF
SBSmc1,#55B5F0FF
SBSmc2,#5E91C8FF
SBSmc3,#2CB3ECFF
BWBSub,#5469F0FF
SBSmh,#86A7E0FF
SBSmk1,#6D8CD4FF
SBSmk2,#448CEAFF
SBSmm,#12B7D8FF
SBSmw,#7AABD5FF
SBSun,#2F93F0FF
SBSvk,#1672C9FF
SBSwk1,#1479F4FF
SBSwk2,#437BC9FF
SBSwk3,#4B70EAFF
BWBSuf,#5A5CDFFF
SBSwk3a,#7A94E0FF
SGPdm_CO,#DED479FF
SWBmk,#92BEC2FF
SWBmks,#79AEB6FF
SWBun,#8DC4D2FF
SWBuns,#80CCD4FF
SWBvk,#A4BED3FF
SWBvks,#ADD5DEFF
WJPxm_OR,#987610FF
BGmw_OR,#C6330AFF
BGdw_WA,#EB2A24FF
BWBSvk,#2C3BE0FF
BGdw_OR,#F5453FFF
ESSFwvw,#D76CE5FF
ESSFmkw,#B64FCFFF
ESSFmcw,#987DB7FF
BWBSwk1,#7A88E2FF
BWBSwk2,#5B69C9FF
BWBSwk3,#5F5DCCFF
CCHun_CA,#754862FF
CDFmm,#FAEA05FF
CDFmm_OR,#E1E42BFF
CDFmm_WA,#EBDE1BFF
CDFxm_CA,#FCFC1FFF
CMAun,#E8E9F3FF
BGmk_MT,#E33339FF
CMAun_CA,#DEF2EAFF
CMAun_OR,#CFDECFFF
CMAun_WA,#EAEADAFF
CMAunp,#E4F3EAFF
CMAwh,#F3E9EEFF
CMXdm_OR,#CC87E9FF
CMXwm_OR,#DCA3DAFF
CMXxm_CA,#BB8FD6FF
CRFdh_CA,#891A14FF
CVGdm_CA,#EEB6A9FF
BGmk_NV,#E25069FF
CWFds_CA,#3B73CEFF
CWFmm_OR,#0D47ABFF
CWFwm_OR,#2168CBFF
CWHdm,#79D31FFF
CWHdm_OR,#7DD78CFF
CWHdm_WA,#1BB926FF
CWHds_WA,#8DEF37FF
CWHds1,#36D01BFF
CWHds2,#2DD42AFF
CWHmh_OR,#1DEC32FF
BGmm_MT,#CD423FFF
CWHmm1,#76E7B0FF
CWHmm2,#7EDD69FF
CWHms_OR,#53E33CFF
CWHms_WA,#33E15FFF
CWHms1,#24DA27FF
CWHms2,#87CB78FF
CWHvh_WA,#3BD04FFF
CWHvh1,#22E514FF
CWHvh2,#48EB4DFF
CWHvh3,#4DE15AFF
BGmw_WA,#E4585DFF
CWHvm_OR,#066D06FF
CWHvm_WA,#289838FF
CWHvm1,#24AC12FF
CWHvm2,#258D0EFF
CWHwh_WA,#70EB74FF
CWHwh1,#13D219FF
CWHwh2,#68E41AFF
CWHwm,#60C87BFF
CWHws1,#41E377FF
CWHws2,#41D45CFF
BGwm_WA,#D51925FF
CWHxm_OR,#87EC91FF
CWHxm_WA,#33E31BFF
CWHxm1,#40D964FF
CWHxm2,#5DD991FF
ESSFabC,#C155D9FF
ESSFabE,#B62DD8FF
ESSFabN,#E4A6F3FF
ESSFabS,#D876DDFF
ESSFabS2,#CEB1E9FF
ESSFdc1,#C45AD6FF
(None),#906D41FF
